sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
349554,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-12-09 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349553,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-12-02 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349552,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-11-25 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349551,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-11-18 00:00:00,1,hidden_pass,True,manganese|turbidity|coliforms,nitrites|color,12
345850,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-11-12 00:00:00,1,hidden_pass,True,iron|turbidity|color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
345950,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-11-12 00:00:00,1,hidden_pass,True,coliforms,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,3
349550,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-11-11 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349549,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-11-04 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349548,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-10-28 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349547,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-10-21 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349546,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-10-14 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349545,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-10-07 00:00:00,1,hidden_pass,True,turbidity|coliforms,nitrites|color,12
349544,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-09-30 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349543,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-09-23 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
341639,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-09-17 00:00:00,1,hidden_pass,True,turbidity|color,e_coli|enterococci|nitrites|fluoride|manganese|chlorides|sulfates|coliforms,6
349542,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-09-16 00:00:00,1,hidden_pass,True,turbidity|coliforms,nitrites|color,12
349541,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-09-09 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349133,joogivesi,Tammetõru prk — Tammetõru prk proovivõtukraan,tammetõru prk tammetõru prk proovivõtukraan,,2024-09-03 00:00:00,1,hidden_pass,True,iron,color,13
349136,joogivesi,Segu prk — Segu prk proovivõtukraan,segu prk segu prk proovivõtukraan,,2024-09-03 00:00:00,1,hidden_pass,True,iron,color,13
349540,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-09-02 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349539,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-08-26 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349538,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-08-19 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349537,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-08-12 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349536,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-08-05 00:00:00,1,hidden_pass,True,manganese|turbidity|coliforms,nitrites|color,12
349535,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-07-29 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
337566,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-07-23 00:00:00,1,hidden_pass,True,iron|turbidity|color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
337612,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-07-23 00:00:00,1,hidden_pass,True,coliforms,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,3
349534,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-07-22 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
